Name,ID,State,Notes,User,Tags,Created,Runtime,Sweep,batch_size,client_lr,dataset,dataset_size_limit,epochs,epochs_per_client,loss_function,lr_decay,model,num_clients,num_rounds,random_seed,sampling,server_lr,use_experimental_simulation_loop,central_dataset_index,acc,best_epoch,best_val_confusion_matrix,best_val_loss,epoch,len_train,loss,params,round,shuffle_buffer,val_acc,val_auc_nct,val_auc_nict,val_auc_pct,val_loss,val_metrics.accuracy,val_metrics.macro avg.f1-score,val_metrics.macro avg.precision,val_metrics.macro avg.recall,val_metrics.macro avg.support,val_metrics.nct.accuracy,val_metrics.nct.f1-score,val_metrics.nct.precision,val_metrics.nct.recall,val_metrics.nct.specificity,val_metrics.nct.support,val_metrics.nict.accuracy,val_metrics.nict.f1-score,val_metrics.nict.precision,val_metrics.nict.recall,val_metrics.nict.specificity,val_metrics.nict.support,val_metrics.pct.accuracy,val_metrics.pct.f1-score,val_metrics.pct.precision,val_metrics.pct.recall,val_metrics.pct.specificity,val_metrics.pct.support,val_metrics.weighted avg.f1-score,val_metrics.weighted avg.precision,val_metrics.weighted avg.recall,val_metrics.weighted avg.support
"{model: Federated VGG_16, client_lr: 0.01, lr_decay: 0, num_clients: 1, epochs_per_client: 5}",4g9qivmx,finished,-,maxb,host-max-main,2021-04-12T22:54:09.000Z,18793,chlrvmn2,64,0.01,HUST-19 (slices),,150,5,categorical_crossentropy,0,Federated VGG_16,1,30,4242,stratified_shuffle_deterministic,1,FALSE,,0.5023707151,5,"[[0,0,571],[0,0,400],[0,0,998]]",,150,17716,1.141837358,14768835,30,88580,,,,,1.027192712,0.5068562722,0.2242444669,0.1689520907,0.3333333333,1969,0.5068562722,0.6727334007,0.5068562722,1,0,998,0.7100050787,0,0,0,1,571,0.7968511935,0,0,0,1,400,0.3409791437,0.2569032807,0.5068562722,1969
"{model: Federated VGG_16, client_lr: 0.01, lr_decay: 0.05, num_clients: 1, epochs_per_client: 5}",cjun9k5x,finished,-,maxb,host-max-pve,2021-04-12T23:09:01.000Z,19029,chlrvmn2,64,0.01,HUST-19 (slices),,150,5,categorical_crossentropy,0.05,Federated VGG_16,1,30,4242,stratified_shuffle_deterministic,1,FALSE,,0.5023707151,5,"[[8,0,563],[0,0,400],[8,0,990]]",,150,17716,1.169085026,14768835,30,88580,,,,,0.9873738289,0.5068562722,0.2327387457,0.3356374808,0.3353314919,1969,0.5068562722,0.670958997,0.5069124424,0.9919839679,0.008238928939,998,0.7100050787,0.0272572402,0.5,0.01401050788,0.9942775393,571,0.7968511935,0,0,0,1,400,0.3479842372,0.4019292115,0.5068562722,1969
"{model: Federated VGG_Simple, client_lr: 0.01, lr_decay: 0.05, num_clients: 1, epochs_per_client: 5}",junuomaq,finished,-,maxb,host-max-pve,2021-04-12T23:11:05.000Z,8426,chlrvmn2,64,0.01,HUST-19 (slices),,150,5,categorical_crossentropy,0.05,Federated VGG_Simple,1,30,4242,stratified_shuffle_deterministic,1,FALSE,,0.5026755333,5,"[[0,0,571],[0,0,400],[0,0,998]]",,150,17716,1.009910107,714467,30,88580,,,,,0.9937303066,0.5068562722,0.2242444669,0.1689520907,0.3333333333,1969,0.5068562722,0.6727334007,0.5068562722,1,0,998,0.7100050787,0,0,0,1,571,0.7968511935,0,0,0,1,400,0.3409791437,0.2569032807,0.5068562722,1969
"{model: Federated VGG_16, client_lr: 0.01, lr_decay: 0, num_clients: 3, epochs_per_client: 10}",26b9f501,finished,-,maxb,host-max-pve,2021-04-13T01:21:35.000Z,18601,chlrvmn2,64,0.01,HUST-19 (slices),,150,10,categorical_crossentropy,0,Federated VGG_16,3,15,4242,stratified_shuffle_deterministic,1,FALSE,,0.4974994361,10,"[[0,0,571],[0,0,400],[0,0,998]]",,150,17716,1.31004107,14768835,15,59050,,,,,1.026789188,0.5068562722,0.2242444669,0.1689520907,0.3333333333,1969,0.5068562722,0.6727334007,0.5068562722,1,0,998,0.7100050787,0,0,0,1,571,0.7968511935,0,0,0,1,400,0.3409791437,0.2569032807,0.5068562722,1969
"{model: Federated VGG_16, client_lr: 0.01, lr_decay: 0.05, num_clients: 1, epochs_per_client: 10}",albcwzwh,finished,-,maxb,host-max-main,2021-04-13T01:32:19.000Z,18083,chlrvmn2,64,0.01,HUST-19 (slices),,150,10,categorical_crossentropy,0.05,Federated VGG_16,1,15,4242,stratified_shuffle_deterministic,1,FALSE,,0.6179668307,10,"[[113,136,322],[65,280,55],[20,16,962]]",,150,17716,0.907999754,14768835,15,177160,,,,,0.6796336174,0.688166582,0.5967475987,0.6457672736,0.6206087598,1969,0.7902488573,0.8232777065,0.7184466019,0.9639278557,0.6117404737,998,0.7242254952,0.2938881664,0.5707070707,0.1978984238,0.9391988555,571,0.8618588116,0.6730769231,0.6481481481,0.7,0.9031230083,400,0.6392443186,0.6613218412,0.688166582,1969
"{model: Federated VGG_16, client_lr: 0.0001, lr_decay: 0, num_clients: 1, epochs_per_client: 5}",dlj45gjm,finished,-,maxb,host-max-pve,2021-04-14T05:32:49.000Z,11352,chlrvmn2,64,0.0001,HUST-19 (slices),,150,5,categorical_crossentropy,0,Federated VGG_16,1,30,4242,stratified_shuffle_deterministic,1,FALSE,,0.876382947,10,"[[386,64,121],[15,382,3],[13,14,971]]",,150,17716,0.2535512447,14768835,30,88580,,,,,0.2643789053,0.8831894363,0.866661064,0.8831866411,0.867984299,1969,0.9233113255,0.9278547539,0.8867579909,0.9729458918,0.8722966014,998,0.8918232605,0.7837563452,0.9323671498,0.6760070053,0.9799713877,571,0.9512442864,0.888372093,0.8304347826,0.955,0.9502868069,400,0.8780460918,0.8885424228,0.8831894363,1969
"{model: Federated VGG_16, client_lr: 0.0001, lr_decay: 0, num_clients: 1, epochs_per_client: 10}",wag4ljq0,finished,-,maxb,host-max-main,2021-04-14T09:00:21.000Z,19023,chlrvmn2,64,0.0001,HUST-19 (slices),,150,10,categorical_crossentropy,0,Federated VGG_16,1,15,4242,stratified_shuffle_deterministic,1,FALSE,,0.9932941794,10,"[[427,22,122],[58,338,4],[34,7,957]]",,150,17716,0.02132410184,14768835,15,177160,,,,,0.859883368,0.8699847638,0.8622011332,0.8594172373,0.8652999314,1969,0.9101066531,0.9101066531,0.9227600412,0.8977955912,0.9227600412,998,0.8770949721,0.7917383821,0.7783417936,0.8056042032,0.9062947067,571,0.9527679025,0.8847583643,0.8771498771,0.8925,0.9681325685,400,0.8706309811,0.8716138325,0.8699847638,1969
"{model: vgg_16, client_lr: 0.01, lr_decay: 0, num_clients: 3}",h47523u0,finished,-,maxb,,2021-04-20T02:08:57.000Z,5560,7gaer1ki,64,0.01,HUST-19 (slices),,150,,categorical_crossentropy,0,VGG_16,3,,4242,stratified_shuffle_deterministic,,,0,0.5070279241,12,"[[0,0,571],[0,0,400],[0,0,998]]",,150,5905,1.027410865,14768835,,,,,,,1.027188897,0.5068562722,0.2242444669,0.1689520907,0.3333333333,1969,0.5068562722,0.6727334007,0.5068562722,1,0,998,0.7100050787,0,0,0,1,571,0.7968511935,0,0,0,1,400,0.3409791437,0.2569032807,0.5068562722,1969
"{model: vgg_simple, client_lr: 0.01, lr_decay: 0, num_clients: 3}",zn132k19,finished,-,maxb,,2021-04-20T03:37:04.000Z,1253,7gaer1ki,64,0.01,HUST-19 (slices),,150,,categorical_crossentropy,0,VGG_Simple,3,,4242,stratified_shuffle_deterministic,,,0,0.5070279241,12,"[[0,0,571],[0,0,400],[0,0,998]]",,150,5905,1.027782559,714467,,,,,,,1.027187943,0.5068562722,0.2242444669,0.1689520907,0.3333333333,1969,0.5068562722,0.6727334007,0.5068562722,1,0,998,0.7100050787,0,0,0,1,571,0.7968511935,0,0,0,1,400,0.3409791437,0.2569032807,0.5068562722,1969
"{model: Federated VGG_16, client_lr: 0.0001, lr_decay: 0, num_clients: 2, epochs_per_client: 5}",ea80hy1s,finished,-,maxb,,2021-04-10T23:45:53.000Z,18518,am6j3hgn,64,0.0001,HUST-19 (slices),,150,5,categorical_crossentropy,0,Federated VGG_16,2,30,4242,stratified_shuffle_deterministic,1,FALSE,,0.8758862019,15,"[[423,56,92],[32,363,5],[57,10,931]]",,150,17716,0.2614867985,14768835,30,44290,,,,,0.2764279246,0.8720162519,0.8586565584,0.8593225815,0.8603904452,1969,0.9167089893,0.9190523198,0.9056420233,0.9328657315,0.9001029866,998,0.8796343321,0.7811634349,0.826171875,0.7408056042,0.9363376252,571,0.9476891823,0.8757539204,0.8461538462,0.9075,0.9579349904,400,0.8702692253,0.8705111317,0.8720162519,1969
